Date : 2024-06-27 16:50:48
Directory : /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/oopsdance
Total : 4086 files,  -1781096 codes, -957629 comments, -120346 blanks, all -2859071 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/p.html                                         | HTML             |        -20 |          0 |         -1 |        -21 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/table.html                                     | HTML             |        -29 |          0 |         -1 |        -30 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/ul.html                                        | HTML             |        -24 |          0 |         -1 |        -25 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/attrs.html                             | HTML             |         -1 |          0 |          0 |         -1 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/checkbox.html                          | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/checkbox_option.html                   | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/checkbox_select.html                   | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/clearable_file_input.html              | HTML             |         -5 |          0 |         -1 |         -6 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/date.html                              | HTML             |         -1 |          0 |         -1 |         -2 |
| /Users/MacbookProCuaNminh/Desktop/project/oopsdance_be/env/lib/python3.12/site-packages/django/forms/templates/django/forms/widgets/datetime.html                          | HTML             |         -1 |          0 |         -1 |         -2 |
